module,minutes
base_display_name,1800
base_mixin_expression_value,1800
base_mixin_sequence_number,1800
product_sequence_number,1800
project_sequence_number,1800
partner_sequence_number,1800
crm_sequence_number,1800
crm_name,600
crm_sale_project,1815
dms_attachment_link,90
documents_color,160,2
documents_fiq,870
documents_form,285
documents_name,195
documents_tag,424,8
documents_url,300
fiq_custom,75
fiq_modules,210
mail_composer_cc_bcc,120
mail_config_by_user,420
mail_fiq,2040
mail_message_search_global,240
mail_message_security,750
partner_assign_location,405
partner_documents_folder,739,8
partner_short_name,70,2
portal_user,240
product_attribute_keep_variant,930
project_documents_folder_url,660
project_documents_tab,225
project_internal_external,60
project_parent,39,6
project_partner_rel,135
website_crm_partner_assign_custom,150
