App;User Group;1;2;3;4;5;6;7;8
account;base.group_user;24;48;72;96;120;144;168;192
account_audit_trail;base.group_user;0;0;0;0;0;0;0;0
account_check_printing;base.group_user;7,5;7,5;7,5;7,5;7,5;7,5;7,5;7,5
account_debit_note;base.group_user;34,5;34,5;34,5;34,5;34,5;34,5;34,5;34,5
account_edi;base.group_user;0;0;0;0;0;0;0;0
account_edi_proxy_client;base.group_user;81;81;81;81;81;81;81;81
account_edi_ubl_cii;base.group_user;1,23;2,46;3,69;4,92;6,15;7,38;8,61;9,84
account_edi_ubl_cii_tax_extension;base.group_user;0;0;0;0;0;0;0;0
account_fleet;base.group_user;1,5;3;4,5;6;7,5;7,5;7,5;7,5
account_lock;base.group_user;30;30;30;30;30;30;30;30
account_payment;base.group_user;0,33;0,66;0,99;1,32;1,65;1,98;2,31;2,64
account_payment_invoice_online_payment_patch;base.group_user;0;0;0;0;0;0;0;0
account_payment_term;base.group_user;0;0;0;0;0;0;0;0
account_peppol;base.group_user;258;258;258;258;258;258;258;258
account_qr_code_emv;base.group_user;45;45;45;45;45;45;45;45
account_qr_code_sepa;base.group_user;3;3;3;3;3;3;3;3
account_sequence;base.group_user;0;0;0;0;0;0;0;0
account_tax_python;base.group_user;82,5;82,5;82,5;82,5;82,5;82,5;82,5;82,5
account_test;base.group_user;33;33;33;33;33;33;33;33
account_update_tax_tags;base.group_user;0;0;0;0;0;0;0;0
accountant;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
analytic;base.group_user;0;0;0;0;0;0;0;0
association;base.group_user;0;0;0;0;0;0;0;0
attachment_indexation;base.group_user;1;2;3;3;3;3;3;3
auth_ldap;base.group_user;0;0;0;0;0;0;0;0
auth_oauth;base.group_user;0;0;0;0;0;0;0;0
auth_passkey;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
auth_password_policy;base.group_user;3;3;3;3;3;3;3;3
auth_password_policy_portal;base.group_user;33;33;33;33;33;33;33;33
auth_password_policy_signup;base.group_user;3;3;3;3;3;3;3;3
auth_signup;base.group_user;0;0;0;0;0;0;0;0
auth_totp;base.group_user;0;0;0;0;0;0;0;0
auth_totp_mail;base.group_user;0,3;0,6;0,9;1,2;1,5;1,8;2,1;2,4
auth_totp_mail_enforce;base.group_user;0;0;0;0;0;0;0;0
auth_totp_portal;base.group_user;0,3;0,6;0,9;1,2;1,5;1,8;2,1;2,4
barcodes;base.group_user;0;0;0;0;0;0;0;0
barcodes_gs1_nomenclature;base.group_user;0;0;0;0;0;0;0;0
base;base.group_user;0;0;0;0;0;0;0;0
base_address_extended;base.group_user;0;0;0;0;0;0;0;0
base_app;base.group_user;0;0;0;0;0;0;0;0
base_automation;base.group_user;288;288;288;288;288;288;288;288
base_display_name;base.group_user;1000;1000;1000;1000;1000;1000;1000;1000
base_geolocalize;base.group_user;0;0;0;0;0;0;0;0
base_iban;base.group_user;3;3;3;3;3;3;3;3
base_import;base.group_user;0;0;0;0;0;0;0;0
base_import_module;base.group_user;0;0;0;0;0;0;0;0
