module,minutes
agreement,118
agreement_account,90
agreement_legal,619
agreement_rebate,448
agreement_sale,93
account_brand,118
account_invoice_bank_brand,80
account_payment_mode_brand,77
analytic_brand,71
brand,131
contract_brand,72
contract_forecast_brand,74
contract_payment_mode_brand,62
mail_brand,166
partner_brand,76
product_brand,113
product_brand_mrp,67
product_brand_purchase,69
product_brand_tag,100
product_contract_brand,65
sale_brand,76
sale_payment_mode_brand,62
stock_brand,72
stock_picking_partner_brand,86
calendar_export_ics,86
calendar_import_ics,120
calendar_public_holiday,193
resource_booking,738
account_commission_oca,320
commission_oca,334
hr_commission_oca,89
sale_commission_oca,97
sale_commission_salesman,81
component,247
component_event,164
connector,421
connector_base_product,62
test_component,76
test_connector,91
agreement_rebate_partner_company_group,68
contract,914
contract_analytic_tag,72
contract_forecast,179
contract_forecast_variable_quantity,64
contract_invoice_auto_validate,74
contract_invoice_start_end_dates,67
contract_line_successor,595
contract_mandate,80
contract_payment_mode,85
contract_price_revision,120
contract_queue_job,83
contract_refund_on_stop,103
contract_sale,65
contract_sale_invoicing,83
contract_sale_mandate,65
contract_sale_payment_mode,87
contract_sale_transmit_method,64
contract_termination,140
contract_transmit_method,79
contract_update_last_date_invoiced,89
contract_variable_qty_prorated,83
contract_variable_qty_timesheet,65
contract_variable_quantity,124
product_contract,469
product_contract_variable_quantity,117
account_credit_control,842
account_credit_control_attach_invoice,98
account_credit_control_queue_job,84
account_financial_risk,378
account_invoice_overdue_reminder,538
account_invoice_overdue_warn,89
account_invoice_overdue_warn_sale,81
account_payment_return_financial_risk,92
partner_risk_insurance,174
partner_risk_insurance_product_sticker_invoice_report,79
sale_financial_risk,167
sale_financial_risk_info,83
stock_financial_risk,84
crm_claim,228
crm_industry,89
crm_lead_code,82
crm_lead_currency,81
crm_lead_firstname,83
crm_lead_product,172
crm_lead_to_task,123
crm_lead_vat,91
crm_location,78
crm_partner_assign,99
crm_partner_required,63
crm_phonecall,294
crm_phonecall_planner,135
crm_phonecall_result,86
crm_phonecall_summary_predefined,104
crm_project_create,84
crm_security_group,83
crm_stage_multi_team,92
crm_stage_probability,133
crm_team_parent,69
crm_won_restrict_per_stage,77
marketing_crm_partner,74
dms,1527
dms_auto_classification,155
dms_field,726
dms_field_auto_classification,108
dms_user_role,72
hr_dms_field,85
web_editor_media_dialog_dms,163
product_template_multi_link,232
product_template_multi_link_date_span,82
product_variant_multi_link,118
website_sale_b2x_alt_price,111
website_sale_checkout_country_vat,71
website_sale_checkout_skip_payment,104
website_sale_hide_empty_category,78
website_sale_hide_price,120
website_sale_order_type,68
website_sale_product_attribute_value_filter_existing,87
website_sale_product_brand,126
website_sale_product_detail_attribute_image,82
website_sale_product_item_cart_custom_qty,72
website_sale_product_reference_displayed,84
website_sale_product_sort,88
website_sale_require_legal,105
website_sale_secondary_unit,257
website_sale_stock_available,86
website_sale_stock_provisioning_date,106
website_sale_suggest_create_account,69
website_sale_vat_required,70
website_sale_wishlist_hide_price,63
website_sale_wishlist_keep,80
website_snippet_product_category,105
base_territory,105
fieldservice,909
fieldservice_account,108
fieldservice_activity,104
fieldservice_agreement,118
fieldservice_availability,106
fieldservice_calendar,128
fieldservice_crm,86
fieldservice_equipment_stock,106
fieldservice_equipment_warranty,87
fieldservice_kanban_info,87
fieldservice_portal,161
fieldservice_project,114
fieldservice_recurring,321
fieldservice_repair,95
fieldservice_route,215
fieldservice_route_availability,83
fieldservice_sale,186
fieldservice_sale_agreement,64
fieldservice_sale_agreement_equipment_stock,65
fieldservice_sale_recurring,128
fieldservice_sale_recurring_agreement,71
fieldservice_sale_stock,73
fieldservice_size,112
fieldservice_skill,124
fieldservice_stage_server_action,79
fieldservice_stock,148
fieldservice_vehicle,92
fleet_vehicle_calendar_year,65
fleet_vehicle_category,73
fleet_vehicle_configuration,73
fleet_vehicle_fuel_capacity,65
fleet_vehicle_fuel_type_ethanol,64
fleet_vehicle_history_date_end,68
fleet_vehicle_inspection,238
fleet_vehicle_log_fuel,165
fleet_vehicle_service_activity,82
fleet_vehicle_service_kanban,115
fleet_vehicle_service_services,64
helpdesk_mgmt,727
helpdesk_mgmt_crm,112
helpdesk_mgmt_fieldservice,130
helpdesk_mgmt_fieldservice_equipment,85
helpdesk_mgmt_fieldservice_equipment_warranty,69
helpdesk_mgmt_fieldservice_project,66
helpdesk_mgmt_merge,119
helpdesk_mgmt_portal_follower,76
helpdesk_mgmt_project,172
helpdesk_mgmt_rating,130
helpdesk_mgmt_sale,81
helpdesk_mgmt_sale_project,72
helpdesk_mgmt_sla,223
